Hours Studied,Exam Score,Predicted Score,Actual Pass?,Predicted Pass?,Squared Difference,,,,Actual Pass?,Predicted Pass? M3,Predicted Pass? M4
1,68,60,N,Y,64.000,8,64.0000,,N,Y,N
1,78,77,N,Y,1.000,1,1.0000,,N,Y,Y
1,75,80,N,Y,25.000,5,25.0000,,N,Y,N
2,83,80,Y,Y,9.000,3,9.0000,,Y,Y,Y
2,80,70,Y,Y,100.000,10,100.0000,,Y,Y,N
2,78,77,N,Y,1.000,1,1.0000,,N,Y,Y
2,89,98,Y,Y,81.000,9,81.0000,,Y,Y,N
2,93,90,Y,Y,9.000,3,9.0000,,Y,Y,Y
3,90,90,Y,Y,0.000,0,0.0000,,Y,Y,N
3,91,90,Y,Y,1.000,1,1.0000,,Y,Y,Y
4,94,99,Y,Y,25.000,5,25.0000,,Y,Y,N
5,88,80,Y,Y,64.000,8,64.0000,,Y,Y,Y
5,84,80,Y,Y,16.000,4,16.0000,,Y,Y,N
5,90,91.35,Y,Y,1.822,1.35,1.8225,,,,
6,94,94.43,Y,Y,0.185,0.43,0.1849,,,,
,,MAE,,,5.151,3.985333333,,,,,
,,RMSE -step 2,,,,26.5338,,,,,
,,RMSE - step3,,,,5.151099559,,,,,
,,,,,,,,,,,
,,,,,,,,,TP,9,4
,,,,,,,,,TN,0,2
,,,,,,,,,FP,0,2
,,,,,,,,,FN,4,5
,,,,,,,,,,,
,,,,,,,,,Precision,1,0.666666667
,,,,,,,,,Recall,0.692307692,0.444444444
,,,,,,,,,Accuracy,0.692307692,0.461538462
,,,,,,,,,F1 Score,0.818181818,0.533333333
,,,,,,,,,AUC ,0.692307692,0.444444444
